,Club,Country,Level,Elo
98,Hertha,GER,2,1627.56652832
147,Bochum,GER,2,1560.82983398
171,Augsburg,GER,2,1535.30322266
176,Cottbus,GER,2,1530.33532715
188,Duesseldorf,GER,2,1524.5489502
192,Bielefeld,GER,2,1523.97839355
194,Karlsruhe,GER,2,1520.86694336
199,Duisburg,GER,2,1517.23547363
216,Aachen,GER,2,1498.25366211
222,Fuerth,GER,2,1493.71936035
239,Paderborn,GER,2,1482.2722168
251,Muenchen 60,GER,2,1479.34448242
295,Union Berlin,GER,2,1451.01953125
306,FSV Frankfurt,GER,2,1444.37792969
330,Oberhausen,GER,2,1431.0423584
355,Osnabrueck,GER,2,1412.54040527
356,Ingolstadt,GER,2,1412.54040527
357,Aue,GER,2,1412.54040527
