,Club,Country,Level,Elo
81,Freiburg,GER,2,1642.23400879
139,Paderborn,GER,2,1555.73876953
156,Lautern,GER,2,1540.99780273
169,Karlsruhe,GER,2,1533.52294922
198,Nuernberg,GER,2,1502.69140625
210,Braunschweig,GER,2,1489.2479248
229,Union Berlin,GER,2,1477.57641602
252,Duesseldorf,GER,2,1460.14404297
262,Fuerth,GER,2,1455.42590332
263,RB Leipzig,GER,2,1455.37060547
268,Heidenheim,GER,2,1451.77966309
272,St Pauli,GER,2,1449.22338867
283,Sandhausen,GER,2,1441.28234863
285,Bochum,GER,2,1440.46826172
290,Muenchen 60,GER,2,1436.27124023
300,FSV Frankfurt,GER,2,1426.66601562
349,Duisburg,GER,2,1391.68981934
350,Bielefeld,GER,2,1391.68981934
