,Club,Elo
0,Karlsruhe,1685.89807129
1,Koeln,1666.62121582
2,St Pauli,1628.78234863
3,Bielefeld,1627.97412109
4,Guetersloh,1585.9387207
5,Mainz,1574.61523438
6,Unterhaching,1559.44042969
7,Duesseldorf,1553.89794922
8,Cottbus,1541.33837891
9,Fortuna Koeln,1540.65136719
10,St Kickers,1538.47314453
11,Fuerth,1527.67529297
12,Wattenscheid,1511.35229492
13,Uerdingen,1502.97302246
14,Hannover,1481.69091797
15,Ulm,1469.86462402
16,Oberhausen,1469.86462402
17,TeBe,1466.79467773
