,Club,Country,Level,Elo
107,Duesseldorf,GER,2,1606.48718262
112,Fuerth,GER,2,1595.44946289
113,Lautern,GER,2,1595.02807617
115,Koeln,GER,2,1593.82617188
165,St Pauli,GER,2,1546.34069824
171,Muenchen 60,GER,2,1542.8782959
190,FSV Frankfurt,GER,2,1516.42724609
206,Cottbus,GER,2,1503.17602539
212,Union Berlin,GER,2,1500.04553223
219,Paderborn,GER,2,1494.47937012
234,Bochum,GER,2,1483.46630859
244,Aue,GER,2,1475.09411621
246,Aalen,GER,2,1474.15014648
267,Dresden,GER,2,1461.96350098
275,Ingolstadt,GER,2,1455.90905762
292,Karlsruhe,GER,2,1441.27600098
309,Bielefeld,GER,2,1425.06591797
364,Sandhausen,GER,2,1382.34387207
