,Club,Country,Level,Elo
72,Freiburg,GER,2,1649.26867676
105,Duesseldorf,GER,2,1610.20178223
121,Mainz,GER,2,1593.50476074
128,Frankfurt,GER,2,1586.11804199
135,St Pauli,GER,2,1576.1817627
136,Unterhaching,GER,2,1576.07348633
155,St Kickers,GER,2,1557.91174316
170,Uerdingen,GER,2,1542.21008301
176,Meppen,GER,2,1535.42285156
197,Lok Leipzig,GER,2,1516.95861816
198,Jena,GER,2,1514.84680176
200,Fortuna Koeln,GER,2,1513.88244629
207,Guetersloh,GER,2,1504.48242188
218,Zwickau,GER,2,1493.26867676
228,Fuerth,GER,2,1485.07666016
229,Cottbus,GER,2,1485.07666016
230,Nuernberg,GER,2,1485.07666016
231,Wattenscheid,GER,2,1485.07666016
