,Club,Country,Level,Elo
95,Nuernberg,GER,2,1617.44580078
110,Wattenscheid,GER,2,1588.89819336
172,Hertha,GER,2,1528.01062012
175,St Pauli,GER,2,1523.69140625
186,Waldhof,GER,2,1518.83862305
202,Chemnitz,GER,2,1498.31774902
206,Lok Leipzig,GER,2,1495.24230957
213,Homburg,GER,2,1489.42248535
217,Hannover,GER,2,1487.54638672
226,Wolfsburg,GER,2,1483.81030273
231,Fortuna Koeln,GER,2,1477.52294922
232,Meppen,GER,2,1477.13769531
248,Saarbruecken,GER,2,1466.9152832
249,Rostock,GER,2,1466.25183105
260,Mainz,GER,2,1461.36340332
311,FSV Frankfurt,GER,2,1425.94482422
312,Zwickau,GER,2,1425.94482422
313,Duesseldorf,GER,2,1425.94482422
