,Club,Country,Level,Elo
145,Mainz,GER,2,1585.31762695
169,Freiburg,GER,2,1554.88696289
185,Gladbach,GER,2,1538.50512695
191,Aachen,GER,2,1533.5880127
195,Lautern,GER,2,1528.41223145
218,Fuerth,GER,2,1507.94567871
238,Koeln,GER,2,1486.40356445
251,Augsburg,GER,2,1476.93615723
293,Muenchen 60,GER,2,1447.91784668
306,Aue,GER,2,1440.27392578
325,Paderborn,GER,2,1423.02868652
344,Koblenz,GER,2,1409.51513672
350,Jena,GER,2,1407.36950684
359,Osnabrueck,GER,2,1400.60168457
360,St Pauli,GER,2,1400.60168457
361,Wehen,GER,2,1400.60168457
362,Hoffenheim,GER,2,1400.60168457
370,Offenbach,GER,2,1396.12023926
