,Club,Elo
0,Nuernberg,1605.12927246
1,Mainz,1563.60083008
2,Duisburg,1529.82995605
3,Rostock,1514.31286621
4,Freiburg,1510.45410156
5,Aachen,1505.86462402
6,Fuerth,1488.12402344
7,Lautern,1481.91003418
8,Koblenz,1451.05480957
9,St Pauli,1419.29162598
10,Augsburg,1417.61193848
11,Wehen,1415.24243164
12,Muenchen 60,1413.13354492
13,Osnabrueck,1406.13476562
14,Ahlen,1383.74145508
15,FSV Frankfurt,1383.74145508
16,Ingolstadt,1383.74145508
17,Oberhausen,1383.74145508
