,Club,Country,Level,Elo
40,Lautern,GER,2,1704.43713379
96,Frankfurt,GER,2,1613.19580078
131,Uerdingen,GER,2,1573.49060059
161,Meppen,GER,2,1545.7052002
174,Wolfsburg,GER,2,1532.37121582
179,Unterhaching,GER,2,1525.42114258
185,Waldhof,GER,2,1522.13989258
194,Mainz,GER,2,1516.87939453
202,Fortuna Koeln,GER,2,1506.95202637
225,Hertha,GER,2,1481.80895996
241,Jena,GER,2,1472.21972656
263,Lok Leipzig,GER,2,1460.30395508
276,Luebeck,GER,2,1452.24645996
283,Zwickau,GER,2,1446.06896973
285,St Kickers,GER,2,1445.30651855
286,Essen,GER,2,1445.30651855
287,Oldenburg,GER,2,1445.30651855
288,Guetersloh,GER,2,1445.30651855
