,Club,Country,Level,Elo
109,Freiburg,GER,2,1626.28417969
113,Fuerth,GER,2,1619.67749023
116,Koeln,GER,2,1614.48266602
119,Mainz,GER,2,1612.27600098
131,Frankfurt,GER,2,1596.7565918
168,Oberhausen,GER,2,1555.69604492
174,Union Berlin,GER,2,1548.60119629
177,St Pauli,GER,2,1545.94897461
186,Waldhof,GER,2,1537.63757324
191,Duisburg,GER,2,1531.19555664
201,Reutlingen,GER,2,1520.4987793
208,Ahlen,GER,2,1516.77050781
230,Karlsruhe,GER,2,1495.36425781
272,Aachen,GER,2,1463.32714844
287,Burghausen,GER,2,1451.30371094
288,Braunschweig,GER,2,1451.30371094
289,Luebeck,GER,2,1451.30371094
290,Trier,GER,2,1451.30371094
