,Club,Country,Level,Elo
103,Hertha,GER,2,1616.6126709
116,Koeln,GER,2,1600.04797363
121,St Pauli,GER,2,1595.31738281
133,Lautern,GER,2,1587.76733398
152,Muenchen 60,GER,2,1559.8079834
174,Paderborn,GER,2,1531.37805176
202,Duisburg,GER,2,1505.6192627
231,Bochum,GER,2,1484.86315918
232,Union Berlin,GER,2,1483.58666992
239,Dresden,GER,2,1478.20727539
243,Braunschweig,GER,2,1475.9967041
258,Ingolstadt,GER,2,1466.68713379
269,Cottbus,GER,2,1457.29199219
279,FSV Frankfurt,GER,2,1453.03173828
289,Aue,GER,2,1444.625
340,Aalen,GER,2,1399.12524414
341,Regensburg,GER,2,1399.12524414
342,Sandhausen,GER,2,1399.12524414
