,Club,Country,Level,Elo
106,Bochum,GER,2,1599.40002441
168,Hertha,GER,2,1537.64221191
187,Uerdingen,GER,2,1513.02587891
198,Waldhof,GER,2,1505.60083008
207,Saarbruecken,GER,2,1500.33239746
233,Chemnitz,GER,2,1484.01794434
234,St Kickers,GER,2,1483.93811035
247,Jena,GER,2,1473.52868652
253,Hannover,GER,2,1462.76818848
263,St Pauli,GER,2,1451.6048584
264,Rostock,GER,2,1451.40002441
268,Meppen,GER,2,1445.21630859
277,Homburg,GER,2,1438.93078613
278,Mainz,GER,2,1437.63146973
281,Fortuna Koeln,GER,2,1436.3527832
284,Wuppertal,GER,2,1433.01818848
298,Wolfsburg,GER,2,1421.25488281
385,Essen,GER,2,1372.22827148
386,Muenchen 60,GER,2,1372.22827148
387,TeBe,GER,2,1372.22827148
