,Club,Elo
0,Duesseldorf,1611.99377441
1,Fuerth,1604.65258789
2,Lautern,1600.18896484
3,Koeln,1592.65966797
4,Muenchen 60,1548.86169434
5,St Pauli,1544.97375488
6,Cottbus,1511.99194336
7,FSV Frankfurt,1510.44372559
8,Union Berlin,1499.54394531
9,Paderborn,1481.32336426
10,Bochum,1481.18811035
11,Aue,1479.64660645
12,Aalen,1464.94702148
13,Dresden,1464.24169922
14,Ingolstadt,1450.74816895
15,Karlsruhe,1442.64294434
16,Bielefeld,1425.56750488
17,Sandhausen,1377.79138184
