,Club,Country,Level,Elo
117,Bielefeld,GER,2,1601.52905273
120,Fuerth,GER,2,1599.234375
124,Mainz,GER,2,1597.67736816
139,Cottbus,GER,2,1571.5814209
163,Nuernberg,GER,2,1546.20495605
222,Union Berlin,GER,2,1497.96777344
239,Aachen,GER,2,1481.95922852
240,Burghausen,GER,2,1481.27587891
250,Duisburg,GER,2,1476.95336914
264,Trier,GER,2,1465.22290039
267,Karlsruhe,GER,2,1462.72705078
272,Ahlen,GER,2,1459.24499512
288,Luebeck,GER,2,1453.80175781
300,Oberhausen,GER,2,1444.43847656
372,Unterhaching,GER,2,1389.17236328
373,Osnabrueck,GER,2,1389.17236328
374,Regensburg,GER,2,1389.17236328
375,Aue,GER,2,1389.17236328
