,Club,Elo
0,Palermo,1534.8704834
1,Siena,1523.07983398
2,Empoli,1494.39990234
3,Novara,1489.59204102
4,Brescia,1447.86010742
5,Bari,1436.15905762
6,Varese,1430.3885498
7,Pescara,1417.34008789
8,Modena,1403.11938477
9,Crotone,1399.54846191
10,Cesena,1398.0
11,Reggina,1390.84484863
12,Padova,1389.46142578
13,Ternana,1387.8326416
14,Virtus Lanciano,1371.73327637
15,Spezia,1370.45666504
16,Juve Stabia,1368.73449707
17,Cittadella,1357.4420166
18,Avellino,1356.3125
19,Carpi,1356.3125
20,Latina,1356.3125
21,Trapani,1356.3125
