,Club,Elo
0,Cagliari,1688.04614258
1,Genoa,1636.67468262
2,Perugia,1635.21557617
3,Verona,1587.01574707
4,Chievo,1566.76660156
5,Foggia,1549.92114258
6,Torino,1549.79528809
7,Padova,1549.65942383
8,Reggina,1545.15087891
9,Reggiana,1543.47668457
10,Pescara,1542.33117676
11,Ravenna,1537.50024414
12,Venezia,1532.89501953
13,Salernitana,1529.24853516
14,Lucchese,1518.25793457
15,Castel di Sangro,1475.35961914
16,Fidelis Andria,1473.73608398
17,Ancona,1473.73608398
18,Monza,1473.73608398
19,Treviso,1473.73608398
