,Club,Elo
0,Parma,1595.3861084
1,Empoli,1581.36779785
2,Rimini,1574.17565918
3,Brescia,1562.05480957
4,Livorno,1557.04052734
5,Ascoli,1550.9498291
6,Albinoleffe,1528.60327148
7,Mantova,1521.2199707
8,Pisa,1504.95385742
9,Bari,1502.00073242
10,Frosinone,1470.86987305
11,Grosseto,1470.64086914
12,Modena,1464.46582031
13,Treviso,1462.0703125
14,Vicenza,1458.71032715
15,Piacenza,1454.84924316
16,Triestina,1449.6484375
17,Ancona,1431.68920898
18,Cittadella,1431.68920898
19,Salernitana,1431.68920898
20,Sassuolo,1431.68920898
21,Avellino,1389.06567383
