,Club,Elo
0,Genoa,1738.44555664
1,Foggia,1709.97290039
2,Reggiana,1628.50219727
3,Salernitana,1625.32702637
4,Ancona,1609.71166992
5,Cosenza,1594.4654541
6,Perugia,1589.56665039
7,Cesena,1587.23388672
8,Venezia,1580.10900879
9,Pescara,1572.3302002
10,Brescia,1567.26147461
11,Verona,1560.01257324
12,Palermo,1556.83398438
13,Lucchese,1552.84228516
14,Fidelis Andria,1552.4552002
15,Chievo,1545.49121094
16,Avellino,1530.3626709
17,Bologna,1530.3626709
18,Reggina,1530.3626709
19,Pistoiese,1530.3626709
