,Club,Elo
0,Sassuolo,1498.9074707
1,Varese,1491.43408203
2,Novara,1485.02490234
3,Verona,1456.37609863
4,Cesena,1455.65270996
5,Ascoli,1437.44885254
6,Crotone,1430.81420898
7,Bari,1428.359375
8,Brescia,1427.63317871
9,Modena,1418.07434082
10,Livorno,1411.1751709
11,Juve Stabia,1410.21496582
12,Reggina,1409.86425781
13,Padova,1404.94470215
14,Empoli,1392.4519043
15,Grosseto,1370.78442383
16,Cittadella,1369.77441406
17,Vicenza,1366.39172363
18,Pro Vercelli,1336.96606445
19,Spezia,1336.96606445
20,Ternana,1336.96606445
21,Virtus Lanciano,1336.96606445
