,Club,Elo
0,Empoli,1512.82971191
1,Palermo,1483.32751465
2,Carpi,1482.67871094
3,Frosinone,1480.88708496
4,Perugia,1456.3638916
5,Cesena,1447.93457031
6,Spezia,1442.42370605
7,Pescara,1437.36450195
8,Novara,1422.69055176
9,Cittadella,1419.65625
10,Salernitana,1407.05432129
11,Entella,1403.77172852
12,Bari,1397.734375
13,Ternana,1394.89245605
14,Pro Vercelli,1388.79504395
15,Brescia,1388.07592773
16,Ascoli,1382.90075684
17,Avellino,1376.71728516
18,Cremonese,1357.60522461
19,Foggia,1357.60522461
20,Parma,1357.60522461
21,Venezia,1357.60522461
