,Club,Elo
0,Catania,1549.70080566
1,Bologna,1517.2590332
2,Bari,1488.34753418
3,Modena,1485.55554199
4,Livorno,1453.21459961
5,Latina,1431.75891113
6,Brescia,1431.30163574
7,Spezia,1420.00549316
8,Carpi,1418.09863281
9,Crotone,1414.53942871
10,Virtus Lanciano,1402.84606934
11,Trapani,1398.08666992
12,Avellino,1397.69470215
13,Ternana,1393.98657227
14,Pescara,1391.62512207
15,Cittadella,1384.47888184
16,Varese,1375.53796387
17,Vicenza,1325.22436523
18,Pro Vercelli,1325.22436523
19,Entella,1325.22436523
20,Frosinone,1325.22436523
21,Perugia,1325.22436523
