,Club,Elo
0,Reggina,1572.82702637
1,Torino,1564.70739746
2,Lecce,1559.77856445
3,Brescia,1539.49633789
4,Empoli,1521.12585449
5,Piacenza,1477.24267578
6,Albinoleffe,1474.7800293
7,Mantova,1469.61035156
8,Modena,1469.27954102
9,Grosseto,1464.43066406
10,Frosinone,1463.46838379
11,Triestina,1461.44421387
12,Ascoli,1458.95397949
13,Sassuolo,1456.0045166
14,Cittadella,1451.2824707
15,Vicenza,1442.09204102
16,Salernitana,1440.94689941
17,Ancona,1406.72619629
18,Cesena,1390.90771484
19,Crotone,1390.90771484
20,Gallipoli,1390.90771484
21,Padova,1390.90771484
