,Club,Elo
0,Chievo,1625.40588379
1,Brescia,1569.55908203
2,Bologna,1568.40637207
3,Lecce,1550.95166016
4,Mantova,1540.00305176
5,Ascoli,1539.21459961
6,Rimini,1534.36462402
7,Piacenza,1531.36474609
8,Modena,1525.10681152
9,Messina,1510.60876465
10,Vicenza,1487.79589844
11,Treviso,1487.2298584
12,Bari,1484.97021484
13,Albinoleffe,1479.44152832
14,Frosinone,1477.75341797
15,Spezia,1472.73730469
16,Triestina,1457.60205078
17,Cesena,1453.40698242
18,Avellino,1413.40588379
19,Grosseto,1413.40588379
20,Pisa,1413.40588379
21,Ravenna,1413.40588379
