,Club,Elo
0,Carpi,1547.49230957
1,Verona,1535.92102051
2,Trapani,1504.40100098
3,Cesena,1470.57861328
4,Frosinone,1462.13415527
5,Spezia,1459.20385742
6,Bari,1443.94995117
7,Novara,1438.99511719
8,Entella,1432.08642578
9,Cittadella,1408.77258301
10,Benevento,1408.77258301
11,Pisa,1408.77258301
12,Spal,1408.77258301
13,Perugia,1407.14099121
14,Ternana,1387.65185547
15,Vicenza,1387.00537109
16,Salernitana,1387.00036621
17,Latina,1383.85412598
18,Brescia,1379.05004883
19,Pro Vercelli,1364.81567383
20,Avellino,1362.01269531
21,Ascoli,1359.36022949
