,Club,Elo
0,Brescia,1624.14038086
1,Bologna,1618.85119629
2,Atalanta,1596.84765625
3,Torino,1578.37524414
4,Modena,1546.33850098
5,Verona,1504.86352539
6,Bari,1499.17797852
7,Ternana,1497.12255859
8,Crotone,1485.6484375
9,Catania,1480.99523926
10,Piacenza,1477.06872559
11,Albinoleffe,1468.11206055
12,Triestina,1448.33813477
13,Arezzo,1448.26989746
14,Vicenza,1446.92199707
15,Avellino,1428.22802734
16,Cremonese,1428.22802734
17,Mantova,1428.22802734
18,Rimini,1428.22802734
19,Cesena,1426.58679199
20,Pescara,1399.18896484
21,Catanzaro,1317.55529785
