,Club,Elo
0,Atalanta,1655.07885742
1,Piacenza,1626.35327148
2,Torino,1569.82299805
3,Como,1563.17993164
4,Ternana,1541.16162109
5,Verona,1541.0534668
6,Vicenza,1537.17285156
7,Bari,1534.18334961
8,Palermo,1532.26599121
9,Cagliari,1531.10339355
10,Napoli,1526.03442383
11,Triestina,1504.63830566
12,Messina,1486.81225586
13,Venezia,1480.69152832
14,Livorno,1477.18798828
15,Genoa,1470.21716309
16,Ascoli,1461.43005371
17,Fiorentina,1456.66967773
18,Albinoleffe,1456.66967773
19,Avellino,1456.66967773
20,Pescara,1456.66967773
21,Treviso,1456.66967773
22,Catania,1450.06591797
23,Salernitana,1394.50683594
