,Club,Elo
0,Udinese,1721.06677246
1,Piacenza,1699.24536133
2,Atalanta,1679.54699707
3,Ascoli,1622.4609375
4,Pescara,1619.05639648
5,Ancona,1605.33862305
6,Cesena,1603.47937012
7,Venezia,1596.20727539
8,Fidelis Andria,1584.79638672
9,Vicenza,1582.32995605
10,Lucchese,1581.78710938
11,Cosenza,1579.05883789
12,Palermo,1576.91430664
13,Verona,1572.76904297
14,Lecce,1565.38342285
15,Acireale,1564.5916748
16,Salernitana,1517.20056152
17,Perugia,1517.20056152
18,Chievo,1517.20056152
19,Como,1517.20056152
