,Club,Elo
0,Juventus,1910.60229492
1,Bologna,1587.66699219
2,Modena,1585.58544922
3,Lecce,1572.04980469
4,Brescia,1531.04516602
5,Arezzo,1521.89306641
6,Crotone,1513.43859863
7,Cesena,1494.78686523
8,Genoa,1493.42333984
9,Frosinone,1493.42333984
10,Napoli,1493.42333984
11,Spezia,1493.42333984
12,Mantova,1485.53527832
13,Bari,1485.18359375
14,Treviso,1485.15319824
15,Piacenza,1481.14880371
16,Verona,1475.09619141
17,Albinoleffe,1466.05871582
18,Triestina,1451.31689453
19,Vicenza,1448.33691406
20,Pescara,1444.13806152
21,Rimini,1435.13085938
