,Club,Elo
0,Cagliari,1560.5949707
1,Pescara,1485.13574219
2,Spezia,1478.25061035
3,Cesena,1458.66088867
4,Perugia,1448.69543457
5,Vicenza,1443.96533203
6,Livorno,1441.80651855
7,Avellino,1437.88867188
8,Bari,1428.82165527
9,Modena,1420.09814453
10,Latina,1418.72338867
11,Brescia,1403.6072998
12,Trapani,1403.55456543
13,Crotone,1399.12878418
14,Virtus Lanciano,1398.29992676
15,Ternana,1388.82434082
16,Novara,1366.38867188
17,Ascoli,1366.38867188
18,Como,1366.38867188
19,Salernitana,1366.38867188
20,Pro Vercelli,1360.92150879
21,Entella,1359.06018066
