Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I1,13/12/2020,14:00,Bologna,Roma,1,5,A
I1,13/12/2020,14:00,Napoli,Sampdoria,2,1,H
I1,13/12/2020,17:00,Genoa,Juventus,1,3,A
I1,13/12/2020,19:45,Milan,Parma,2,2,D
I1,15/12/2020,17:30,Udinese,Crotone,0,0,D
I1,15/12/2020,19:45,Benevento,Lazio,1,1,D
I1,16/12/2020,17:30,Juventus,Atalanta,1,1,D
I1,16/12/2020,19:45,Fiorentina,Sassuolo,1,1,D
I1,16/12/2020,19:45,Genoa,Milan,2,2,D
I1,16/12/2020,19:45,Inter,Napoli,1,0,H
I1,16/12/2020,19:45,Parma,Cagliari,0,0,D
I1,16/12/2020,19:45,Spezia,Bologna,2,2,D
I1,16/12/2020,19:45,Verona,Sampdoria,1,2,A
I1,17/12/2020,19:45,Roma,Torino,3,1,H
I1,19/12/2020,14:00,Fiorentina,Verona,1,1,D
I1,19/12/2020,17:00,Sampdoria,Crotone,3,1,H
I1,19/12/2020,19:45,Parma,Juventus,0,4,A
I1,20/12/2020,11:30,Torino,Bologna,1,1,D
I1,20/12/2020,14:00,Benevento,Genoa,2,0,H
I1,20/12/2020,14:00,Cagliari,Udinese,1,1,D
I1,20/12/2020,14:00,Inter,Spezia,2,1,H
I1,20/12/2020,14:00,Sassuolo,Milan,1,2,A
I1,20/12/2020,17:00,Atalanta,Roma,4,1,H
I1,20/12/2020,19:45,Lazio,Napoli,2,0,H
I1,22/12/2020,17:30,Crotone,Parma,2,1,H
I1,22/12/2020,19:45,Juventus,Fiorentina,0,3,A
I1,23/12/2020,17:30,Verona,Inter,1,2,A
I1,23/12/2020,19:45,Bologna,Atalanta,2,2,D
I1,23/12/2020,19:45,Milan,Lazio,3,2,H
I1,23/12/2020,19:45,Napoli,Torino,1,1,D
I1,23/12/2020,19:45,Roma,Cagliari,3,2,H
I1,23/12/2020,19:45,Sampdoria,Sassuolo,2,3,A
I1,23/12/2020,19:45,Spezia,Genoa,1,2,A
I1,23/12/2020,19:45,Udinese,Benevento,0,2,A
I1,03/01/2021,11:30,Inter,Crotone,6,2,H
I1,03/01/2021,14:00,Atalanta,Sassuolo,5,1,H
I1,03/01/2021,14:00,Cagliari,Napoli,1,4,A
I1,03/01/2021,14:00,Fiorentina,Bologna,0,0,D
I1,03/01/2021,14:00,Genoa,Lazio,1,1,D
I1,03/01/2021,14:00,Parma,Torino,0,3,A
I1,03/01/2021,14:00,Roma,Sampdoria,1,0,H
I1,03/01/2021,14:00,Spezia,Verona,0,1,A
I1,03/01/2021,17:00,Benevento,Milan,0,2,A
I1,03/01/2021,19:45,Juventus,Udinese,4,1,H
I1,06/01/2021,11:30,Cagliari,Benevento,1,2,A
I1,06/01/2021,14:00,Atalanta,Parma,3,0,H
I1,06/01/2021,14:00,Bologna,Udinese,2,2,D
I1,06/01/2021,14:00,Crotone,Roma,1,3,A
I1,06/01/2021,14:00,Lazio,Fiorentina,2,1,H
I1,06/01/2021,14:00,Sampdoria,Inter,2,1,H
I1,06/01/2021,14:00,Sassuolo,Genoa,2,1,H
I1,06/01/2021,14:00,Torino,Verona,1,1,D
I1,06/01/2021,17:00,Napoli,Spezia,1,2,A
I1,06/01/2021,19:45,Milan,Juventus,1,3,A
I1,09/01/2021,14:00,Benevento,Atalanta,1,4,A
I1,09/01/2021,17:00,Genoa,Bologna,2,0,H
I1,09/01/2021,19:45,Milan,Torino,2,0,H
I1,10/01/2021,11:30,Roma,Inter,2,2,D
I1,10/01/2021,14:00,Parma,Lazio,0,2,A
I1,10/01/2021,14:00,Udinese,Napoli,1,2,A
I1,10/01/2021,14:00,Verona,Crotone,2,1,H
